Código institución,Nombre institución,Código del registro,Nombre del registro,Tipo de registro,Estado registro,Descripción del registro,Área responsable,Cargo del o la responsable,Tipo de inicio,Acto de inicio,Acto de término,Producto institucional relacionado,Número Ley,URL de la Ley en LeyChile (Biblioteca del Congreso Nacional de Chile),Otras fuentes normativas,Pago asociado,Tipo de usuario(a),Segmento de usuarios(as),Relación con el Registro Social de Hogares (RSH) y/o con el Registro de Información Social (RIS) para la selección de sus usuarios,Disponibilidad para su realización,Nivel de digitalización,Canal digital - Canales transaccionales,Canal presencial - Canales transaccionales,Canal telefónico - Canales transaccionales,Módulos de autoatención - Canales transaccionales,URL del inicio,Ficha ChileAtiende relacionada,URL de ficha ChileAtiende,Número de plataformas electrónicas que intervienen en el soporte electrónico,Alcance de las plataformas electrónicas que soportan el registro,Utiliza SIMPLE con modalidad Saas como plataforma para la digitalización,Utiliza SIMPLE con modalidad On premise como plataforma para la digitalización,Utiliza Plataformas desarrolladas por la institución (equipo propio) como plataforma para la digitalización,Utiliza Plataformas desarrolladas por la institución (provisto externamente) como plataforma para la digitalización,Utiliza  Plataformas transversales provistas por el Estado como plataforma para la digitalización,No utiliza mecanismo de autenticación - Autenticación,Utiliza ClaveÚnica - Autenticación,Utiliza Clave Tributaria - Autenticación,Utiliza un mecanismo de autenticación propio - Autenticación,Mecanismo de autenticación digital para funcionarios,Firma electrónica Avanzada,Notificación(es) practicada(s),Tiene etapa Inicio,Tiene etapa Instrucción,Tiene etapa Finalización,Medio utilizado para notificar en la etapa de iniciación,Medio utilizado para notificar en la etapa de instrucción,Medio utilizado para notificar en la etapa de finalización,"Dato, documentos(certificados) y/o expedientes en poder de otros órganos de la Administración del Estado",Documento(s) notarial(es),Nombre del documento notarial relacionado,Medio utilizado para enviar comunicaciones oficiales entre órganos de la Administración del Estado,Fecha de creación,Fecha de actualización
PE-GOR-00036,Gobierno Regional de la Región de Antofagasta,PA-GOR00036-00011,Permisos de Funcionarios,Procedimiento administrativo de función común,Completado,Gestión de permisos con y sin goce de remuneraciones,Recursos humanos - gestión de personas,Encargado DGDP Departamento de Gestión y Desarrollo de Personas,"Solicitud de partes: Solicitados por una parte interesada, cuya solicitud determina en principio y por sí misma el origen del procedimiento administrativo.",Solicitud de los funcionarios a través de SIGPER,Visación y Resolución Final por SIGPER y posterior carga en SIAPER,,18834,https://www.bcn.cl/leychile/navegar?idNorma=236392,No,,,,,,Nivel 5,Sí,,,,https://gre.sigper.cl,,,2,Las plataformas electrónicas soportan todas las etapas de tramitación del procedimiento administrativo y/o trámite,,,,Sí,Sí,,,,Sí,Utiliza un mecanismo propio de autenticación digital para funcionarios,No utiliza firma electrónica avanzada,Sí,Sí,Sí,Sí,Sólo por medios electrónicos.,Solo por medios eléctronicos,Solo por medios eléctronicos,No,,,"Sí, realiza envíos por medios electrónicos propios y DOC Digital",2023-12-15 15:42:04,2024-10-15 10:32:54
PE-GOR-00036,Gobierno Regional de la Región de Antofagasta,PA-GOR00036-00012,Solicitud de horas extras (pagadas / compensadas),Procedimiento administrativo de función común,Completado,Gestión de compensación de horas por trabajos extraordinarios y/o capacitaciones fuera del horario de trabajo con un tope de 40 horas diurnas mensuales y sin tope las nocturnas.,Recursos humanos - gestión de personas,Encargado DGDP Departamento de Gestión y Desarrollo de Personas,"Solicitud de partes: Solicitados por una parte interesada, cuya solicitud determina en principio y por sí misma el origen del procedimiento administrativo.",Solicitud de los funcionarios por SIGPER,Visación y Resolución Final por SIGPER,,18834,https://www.bcn.cl/leychile/navegar?idNorma=236392,No,,,,,,Nivel 5,Sí,,,,https://gre.sigper.cl,,,1,Las plataformas electrónicas soportan todas las etapas de tramitación del procedimiento administrativo y/o trámite,,,,Sí,,,,,Sí,Utiliza un mecanismo propio de autenticación digital para funcionarios,No utiliza firma electrónica avanzada,Sí,Sí,Sí,Sí,Sólo por medios electrónicos.,Solo por medios eléctronicos,Solo por medios eléctronicos,No,,,"Sí, realiza envíos por medios electrónicos propios y DOC Digital",2023-12-15 15:44:18,2024-10-15 10:23:14
PE-GOR-00036,Gobierno Regional de la Región de Antofagasta,PA-GOR00036-00013,Evaluación desempeño individual,Procedimiento administrativo de función común,Completado,Calificación del rendimiento anual.,Recursos humanos - gestión de personas,Encargado DGDP Departamento de Gestión y Desarrollo de Personas,"De oficio: Por propia iniciativa, como consecuencia de una orden superior, a petición de otros órganos o por denuncia.",Apertura en el SIGPER del proceso de Evaluación desempeño individual,Se carga el escalafón del Gobierno Regional al SIAPER y se debe difundir por la intranet a todos los funcionarios (plataforma intranet),,18834,https://www.bcn.cl/leychile/navegar?idNorma=30210,Sí,,,,,,Nivel 5,Sí,,,,https://gre.sigper.cl,,,3,Las plataformas electrónicas soportan parcialmente las etapas de tramitación del procedimiento administrativo y/o trámite,,,Sí,Sí,Sí,,,,Sí,No utiliza mecanismo de autenticación digital para funcionarios,Utiliza firma electrónica avanzada del Estado (FirmaGob),Sí,Sí,Sí,Sí,Sólo por medios electrónicos.,Solo por medios eléctronicos,Solo por medios eléctronicos,No,,,"Sí, realiza envíos por medios electrónicos propios y DOC Digital",2023-12-15 15:46:50,2024-10-21 15:09:22
PE-GOR-00036,Gobierno Regional de la Región de Antofagasta,PA-GOR00036-00014,Plan Anual de Auditoría Interna,Procedimiento administrativo de función común,Completado,"Validación y seguimiento del Plan de auditoría interna del Gobierno Regional, por parte de la unidad de Auditoria de Contraloría General de la República. ;;",Otro,Encargado Sub unidad de Auditoría Interna,Ambos tipos de inicio (oficio y a solicitud de partes).,"Convenio de colaboración entre la Contraloría General de la República y el Gobierno Regional de Antofagasta ""Para el uso de herramientas de apoyo a la gestión institucional""",Carga del Plan anual de auditoría interna al Sistema de Auditoría Interna (SAI) de la Contraloría General de la Republica ,,19175,https://www.bcn.cl/leychile/navegar?idNorma=243771,No,,,,,,Nivel 5,Sí,,,,https://www.cgrauditoriainterna.cl/,,,1,Las plataformas electrónicas soportan todas las etapas de tramitación del procedimiento administrativo y/o trámite,,,,,Sí,,Sí,,,Utiliza ClaveÚnica como mecanismo de autenticación digital para funcionarios,No utiliza firma electrónica avanzada,No,,,,,,,No,,,No considera comunicaciones oficiales,2023-12-15 16:09:04,2024-10-21 15:06:45
PE-GOR-00036,Gobierno Regional de la Región de Antofagasta,PA-GOR00036-00015,Licencias médicas,Procedimiento administrativo de función común,Completado,Gestión de uso de días de recuperación por salud.,Recursos humanos - gestión de personas,Encargado DGDP Departamento de Gestión y Desarrollo de Personas,"Solicitud de partes: Solicitados por una parte interesada, cuya solicitud determina en principio y por sí misma el origen del procedimiento administrativo.",Recepción de correo electrónico de Imed o Medipass,Tramitación ante página web de Imed o Medipass y posterior resolucíon final,,20585,https://www.bcn.cl/leychile/navegar?idNorma=1039952,No,,,,,,Nivel 3,,Sí,,,https://gre.sigper.cl,,,3,Las plataformas electrónicas soportan parcialmente las etapas de tramitación del procedimiento administrativo y/o trámite,,,,Sí,,,,,Sí,No utiliza mecanismo de autenticación digital para funcionarios,No utiliza firma electrónica avanzada,No,,,,,,,No,,,"Sí, realiza envíos por medios electrónicos propios y DOC Digital",2023-12-15 16:32:04,2023-12-28 13:06:38
PE-GOR-00036,Gobierno Regional de la Región de Antofagasta,PA-GOR00036-00016,Gestión de Recursos Físicos,Procedimiento administrativo de función común,Completado,Control y administración de los bienes muebles y registrar los equipos y programas tecnológicos.;,Administración y finanzas,Encargada de Servicio Generales y Recursos Físicos ,Ambos tipos de inicio (oficio y a solicitud de partes).,1.- Donaciones a través de formulario publicado en pagina oficial del servicio 2.- Solicitudes internas por  correo electrónico ,1.- Resolución finalizando el proceso de donación 2.- Acta de entrega y/o reasignación de bienes,,1939,https://www.bcn.cl/leychile/navegar?idNorma=6778,Sí,,,,,,Nivel 3,,Sí,,,https://goreantofagasta.cl/,,,4,Las plataformas electrónicas soportan todas las etapas de tramitación del procedimiento administrativo y/o trámite,,,,Sí,,,Sí,,Sí,No utiliza mecanismo de autenticación digital para funcionarios,No utiliza firma electrónica avanzada,Sí,Sí,Sí,Sí,Sólo por medios electrónicos.,Solo por medios eléctronicos,Solo por medios eléctronicos,No,,,No considera comunicaciones oficiales,2023-12-15 16:34:23,2024-10-15 10:02:16
PE-GOR-00036,Gobierno Regional de la Región de Antofagasta,PA-GOR00036-00017,Plan anual de compras,Procedimiento administrativo de función común,Completado,Planificación referencial de los bienes y servicios para el año.,Administración y finanzas,Encargado Unidad de Finanzas de la DAF (División Administración y Finanzas),"De oficio: Por propia iniciativa, como consecuencia de una orden superior, a petición de otros órganos o por denuncia.",Correo de Mercado publico que señala apertura para ingresar el Plan de Compra Anual,Publicación en plataforma de mercado Publico de Resolución que aprueba el Plan de Compra Anual,,19886,https://bcn.cl/2f72u,No,,,,,,Nivel 5,Sí,,,,https://www.mercadopublico.cl/Home,,,2,Las plataformas electrónicas soportan parcialmente las etapas de tramitación del procedimiento administrativo y/o trámite,,,,,Sí,,Sí,,,No utiliza mecanismo de autenticación digital para funcionarios,No utiliza firma electrónica avanzada,No,,,,,,,No,,,"Sí, realiza envíos por medios electrónicos propios y DOC Digital",2023-12-15 16:36:08,2024-10-21 15:43:51
PE-GOR-00036,Gobierno Regional de la Región de Antofagasta,PA-GOR00036-00018,Administración de garantías,Procedimiento administrativo de función común,Completado,"Gestiona la recepción, registro, custodia y cobro de boletas de garantía y/o pólizas de fianzas.;La División de Presupuesto e Inversión Regional DIPIR realiza la recepción y registro al sistema Methasys y realizan la administración de las boletas. . En tanto la División de Administración y Finanzas DAF valida el ingreso al sistema Methasys, luego otorga  el resguardo físico ",Otro,Analista DIPIR UGP (Unidad de Gestión de Proyecto) y Analista Unidad de Tesorería FNDR ,"Solicitud de partes: Solicitados por una parte interesada, cuya solicitud determina en principio y por sí misma el origen del procedimiento administrativo.",Firma del Convenio y exigencia de la Garantía,Devolución o cobro de la boleta de Garantía,,19886,https://bcn.cl/2f72u,No,,,,,,Nivel 5,Sí,Sí,,,https://www.sigfe.gob.cl/sigfe/faces/autenticacion?_afrLoop=480160882013532&_afrWindowMode=0&_adf.ctrl-state=159h6t9l74_9,,,2,Las plataformas electrónicas soportan parcialmente las etapas de tramitación del procedimiento administrativo y/o trámite,,,,Sí,Sí,,,,Sí,Utiliza un mecanismo propio de autenticación digital para funcionarios,No utiliza firma electrónica avanzada,Sí,,,Sí,,,Solo por medios eléctronicos,No,,,"Sí, realiza envíos por medios electrónicos propios y DOC Digital",2023-12-18 15:58:14,2024-10-21 14:46:24
PE-GOR-00036,Gobierno Regional de la Región de Antofagasta,PA-GOR00036-00019,Proceso de Pago ,Procedimiento administrativo de función común,Completado,"Contempla todas las etapas del proceso de pago en general. Ya se de: a. Pagos del Programa 01 que considera: Gestión del pago de sueldos, capacitaciones, viáticos, bienes y servicios de consumo, gastos de representación, transferencias a organismos internacionales, equipos y programas informáticos, pagos a Cores y/o mobiliario. b. Pagos del Programa 02 que considera: Gestión del pago de bienes y servicios de consumo, transferencias corrientes al sector público y privado, adquisición de activos no financiero, iniciativas de inversión y transferencias de capital.   ",Administración y finanzas,Encargado Departamento de Finanzas,"Solicitud de partes: Solicitados por una parte interesada, cuya solicitud determina en principio y por sí misma el origen del procedimiento administrativo.","Recepción del Documento (DTE, otros)","Pago del Documento por transferencia electrónico (DTE, otros)",,1263,https://www.bcn.cl/leychile/navegar?idNorma=6536&buscar=decreto%2Bley%2B1263,No,,,,,,Nivel 5,Sí,,,,https://www.sigfe.gob.cl/sigfe/faces/autenticacion?_afrLoop=480160882013532&_afrWindowMode=0&_adf.ctrl-state=159h6t9l74_9,,,2,Las plataformas electrónicas soportan todas las etapas de tramitación del procedimiento administrativo y/o trámite,,,,,Sí,,,,Sí,Utiliza un mecanismo propio de autenticación digital para funcionarios,No utiliza firma electrónica avanzada,Sí,,,Sí,,,Solo por medios eléctronicos,Sí,,,"Sí, realiza envíos por medios electrónicos propios y DOC Digital",2023-12-25 15:51:01,2024-10-15 10:54:58
PE-GOR-00036,Gobierno Regional de la Región de Antofagasta,PT-GOR00036-00020,Fondo de Vinculación con la Comunidad 8% del F.N.D.R.,Procedimiento administrativo de función específica,Completado,"El Fondo de Vinculación con la comunidad 8% del Fondos Nacional de Desarrollo Regional (F.N.D.R.) para la región de Antofagasta, consta de las etapas de postulación, la adjudicación, el seguimiento y la atapa de rendición. El fondo de vinculación corresponde a una subvención que permite financiar actividades culturales, deportivas, de seguridad ciudadana, de carácter social y rehabilitación de drogas y de protección del medio ambiente y educación ambiental, a través de concurso de iniciativas o de asignación directa. Dirigido a las municipalidades, otras entidades públicas o instituciones privadas sin fines de lucro.;El trámite se inicia por el envío de la postulación a fondo concursable o solicitud de asignación directa y finaliza con el certificado de cierre de la iniciativa.",Áreas asociadas al mandato institucional,Jefe División de Desarrollo Social y Humano DIDESOH,"Solicitud de partes: Solicitados por una parte interesada, cuya solicitud determina en principio y por sí misma el origen del procedimiento administrativo.",Solicitud de interesado (a) a asignación directa o a postulación del Fondo Concursable del 8% del FNDR,Finaliza con la aprobación o rechazo de la solicitud de asignación directa o a la postulación del Fondo Concursable del 8% FNDR,Fondos concursables y/o postulables,21516,https://www.bcn.cl/leychile/navegar?idNorma=1186683&tipoVersion=0,Sí,No,"Persona jurídica: Ente ficticio que tiene la capacidad legal de adquirir derechos, contraer obligaciones y ser representado judicial y extrajudicialmente",No aplica,No se requiere información,Se puede realizar sólo en algunos períodos del año,Nivel 5,Sí,Sí,,,https://www.concursosregionantofagasta.cl,No,,2,Las plataformas electrónicas soportan parcialmente las etapas de tramitación del procedimiento administrativo y/o trámite,,,,Sí,,,,,Sí,Utiliza un mecanismo propio de autenticación digital para funcionarios,No utiliza firma electrónica avanzada,Sí,Sí,Sí,Sí,Sólo por medios electrónicos.,Solo por medios eléctronicos,Solo por medios eléctronicos,Sí,No,,No considera comunicaciones oficiales,2023-11-10 15:40:15,2024-10-21 14:51:07
